Category,Front,Back,Pronunciation,PartOfSpeech,Difficulty,Example,Tags
Everyday Situations,Vicinity,કોઈ સ્થળની આસપાસનો / નજીકનો વિસ્તાર.,વિસિનિટી,noun,Advanced,Is there a bank in the vicinity?,Everyday_Situations; Asking_&_Navigation; Advanced
Everyday Situations,Detour,મુખ્ય રસ્તાને બદલે લેવાતો ફરીને જતો / લાંબો રસ્તો.,ડીટૂર,noun,Intermediate,We took a detour to avoid the traffic.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Head towards,કોઈ દિશા તરફ આગળ વધવું / જવું.,હેડ ટુવર્ડ્સ,verb phrase,Intermediate,Let's head towards the exit.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Around the corner,તદ્દન નજીક; અથવા બહુ જલદી આવનારું.,અરાઉન્ડ ધ કોર્નર,phrase,Intermediate,The pharmacy is just around the corner.,Everyday_Situations; Asking_&_Navigation; Intermediate
Everyday Situations,Bound for,કોઈ ચોક્કસ સ્થળ તરફ જઈ રહેલું / રવાના.,બાઉન્ડ ફૉર,phrase,Advanced,This train is bound for Mumbai.,Everyday_Situations; Asking_&_Navigation; Advanced
Everyday Situations,Manage,કોઈ (મુશ્કેલ) કામ પાર પાડવું / સંભાળી લેવું.,મેનેજ,verb,Intermediate,Somehow I managed to finish on time.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Sort out,સમસ્યા ઉકેલવી / વ્યવસ્થિત ગોઠવી લેવું.,સોર્ટ આઉટ,phrasal verb,Intermediate,We need to sort out this misunderstanding.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Figure out,વિચારીને સમજવું / ઉકેલ શોધવો.,ફિગર આઉટ,phrasal verb,Intermediate,I can't figure out how this works.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Postpone,કોઈ કાર્યક્રમ કે કામ પાછળ ઠેલવું / મુલતવી રાખવું.,પોસ્ટપોન,verb,Intermediate,They postponed the match due to rain.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Reschedule,નક્કી કરેલા સમય/તારીખ બદલવી / ફરી ગોઠવવી.,રીશેડ્યૂલ,verb,Intermediate,I need to reschedule our appointment.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Run errands,"રોજિંદાં નાનાં કામ (ખરીદી, બિલ ભરવું વગેરે) પતાવવા જવું.",રન એરન્ડ્સ,phrase,Intermediate,I have to run a few errands this morning.,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Drop off,કોઈને કે કંઈને કોઈ જગ્યાએ મૂકી આવવું.,ડ્રોપ ઑફ,phrasal verb,Intermediate,Can you drop me off at the station?,Everyday_Situations; Managing_Daily_Tasks; Intermediate
Everyday Situations,Exhausted,"અત્યંત થાકેલું, સાવ નિચોવાઈ ગયેલું.",ઇગ્ઝૉસ્ટેડ,adjective,Intermediate,I'm exhausted after the long journey.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Overwhelmed,એટલું બધું થઈ જાય કે સંભાળી ન શકાય એવી લાગણી; ભારે દબાણ.,ઓવરવેલ્મ્ડ,adjective,Advanced,She felt overwhelmed by all the responsibilities.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Content,જે છે તેમાં ખુશ અને સંતુષ્ટ; શાંત.,કન્ટેન્ટ,adjective,Intermediate,She is content with her simple life.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Anxious,કોઈ અનિશ્ચિત વાત અંગે ચિંતિત કે બેચેન.,એન્ગ્ઝિયસ,adjective,Intermediate,She was anxious about the test results.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Relieved,ચિંતા ટળી જતાં હળવાશ અને રાહત અનુભવવી.,રિલીવ્ડ,adjective,Intermediate,I was relieved to hear you're safe.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Frustrated,ધાર્યું ન થઈ શકતાં ચીડ અને નિરાશા અનુભવવી.,ફ્રસ્ટ્રેટેડ,adjective,Intermediate,He was frustrated with the slow internet.,Everyday_Situations; Feelings_&_States; Intermediate
Everyday Situations,Swamped,કામથી લદાયેલું; એટલું બધું કામ કે પહોંચી ન વળાય.,સ્વોમ્પ્ડ,adjective,Advanced,I'm swamped with work this week.,Everyday_Situations; Feelings_&_States; Advanced
Everyday Situations,Meanwhile,એ દરમિયાન; એ જ સમય દરમ્યાન.,મીનવ્હાઇલ,adverb,Intermediate,"You cook; meanwhile, I'll set the table.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Eventually,આખરે; લાંબા સમય કે પ્રયત્ન પછી છેવટે.,ઇવેન્ચ્યુઅલી,adverb,Intermediate,"After many tries, she eventually succeeded.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,Beforehand,અગાઉથી; કોઈ ઘટના પહેલાં.,બિફોરહેન્ડ,adverb,Intermediate,Please let me know beforehand if you're coming.,Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,In the meantime,એ દરમ્યાનના સમયમાં; બીજું કંઈ થાય ત્યાં સુધી.,ઇન ધ મીનટાઇમ,phrase,Advanced,"The doctor will see you soon; in the meantime, please wait.",Everyday_Situations; Time_&_Routine; Advanced
Everyday Situations,Sooner or later,"વહેલા-મોડા; આજે નહિ તો કાલે, પણ થશે જરૂર.",સૂનર ઑર લેટર,phrase,Intermediate,"Sooner or later, the truth will come out.",Everyday_Situations; Time_&_Routine; Intermediate
Everyday Situations,For the time being,"હાલ પૂરતું; હમણાં માટે, સ્થિતિ બદલાય ત્યાં સુધી.",ફૉર ધ ટાઇમ બીઇંગ,phrase,Advanced,"For the time being, we'll stay at a hotel.",Everyday_Situations; Time_&_Routine; Advanced
Places,Downtown,શહેરનો મધ્ય / મુખ્ય વેપારી વિસ્તાર.,ડાઉનટાઉન,noun/adverb,Intermediate,She works downtown in a tall office building.,Places; Around_Town; Intermediate
Places,Suburb,શહેરની બહારનો રહેણાંક વિસ્તાર / પરું.,સબર્બ,noun,Intermediate,They moved to a quiet suburb last year.,Places; Around_Town; Intermediate
Places,Outskirts,શહેર કે ગામની બહારની હદ / છેવાડાનો વિસ્તાર.,આઉટસ્કર્ટ્સ,noun,Intermediate,Their farm is on the outskirts of the city.,Places; Around_Town; Intermediate
Places,Neighbourhood,આસપાસનો વિસ્તાર / પડોશ.,નેબરહૂડ,noun,Intermediate,We live in a friendly neighbourhood.,Places; Around_Town; Intermediate
Places,Locality,ચોક્કસ વિસ્તાર / લત્તો.,લોકાલિટી,noun,Advanced,Many old families live in this locality.,Places; Around_Town; Advanced
Places,Metropolis,"મોટું, ધમધમતું શહેર / મહાનગર.",મેટ્રોપોલિસ,noun,Advanced,Mumbai is a bustling metropolis.,Places; Around_Town; Advanced
Places,Residential area,મુખ્યત્વે ઘરોવાળો રહેણાંક વિસ્તાર.,રેસિડેન્શિયલ એરિયા,noun phrase,Intermediate,They built a school in the residential area.,Places; Around_Town; Intermediate
Places,Premises,મકાન અને તેની જમીન / મિલકતનો વિસ્તાર.,પ્રેમિસિસ,noun,Advanced,Smoking is not allowed on the premises.,Places; Buildings_&_Their_Parts; Advanced
Places,Lobby,હોટેલ/મકાનનો પ્રવેશખંડ.,લોબી,noun,Intermediate,Let's meet in the hotel lobby at nine.,Places; Buildings_&_Their_Parts; Intermediate
Places,Foyer,પ્રવેશદ્વાર પાસેનો ખંડ / સ્વાગતકક્ષ.,ફોયર,noun,Advanced,We met in the theatre foyer during the interval.,Places; Buildings_&_Their_Parts; Advanced
Places,Corridor,મકાનની અંદરનો માર્ગ / પરસાળ.,કોરિડોર,noun,Intermediate,Her office is at the end of the corridor.,Places; Buildings_&_Their_Parts; Intermediate
Places,Basement,જમીનની નીચેનો માળ / ભોંયરું.,બેઝમેન્ટ,noun,Intermediate,The car park is in the basement.,Places; Buildings_&_Their_Parts; Intermediate
Places,Terrace,મકાનની ઉપરની ખુલ્લી છત / અગાશી.,ટેરેસ,noun,Intermediate,We had dinner on the terrace under the stars.,Places; Buildings_&_Their_Parts; Intermediate
Places,Courtyard,મકાનની વચ્ચે દીવાલોથી ઘેરાયેલું ખુલ્લું આંગણું.,કોર્ટયાર્ડ,noun,Advanced,The old house has a central courtyard.,Places; Buildings_&_Their_Parts; Advanced
Places,Terminal,જ્યાં મુસાફરી શરૂ/પૂરી થાય તે મથક (એરપોર્ટ/બસ).,ટર્મિનલ,noun,Intermediate,Our flight leaves from Terminal 2.,Places; Travel_&_Transit; Intermediate
Places,Junction,જ્યાં રસ્તા કે રેલમાર્ગ મળે તે સ્થળ / સંગમ.,જંક્શન,noun,Intermediate,Turn right at the next junction.,Places; Travel_&_Transit; Intermediate
Places,Platform,સ્ટેશન પર ગાડી પકડવા માટેનો ઉંચો ઓટલો / પ્લેટફોર્મ.,પ્લેટફોર્મ,noun,Intermediate,The train arrives at platform three.,Places; Travel_&_Transit; Intermediate
Places,Depot,બસ/સામાન રાખવાનું મથક / ડેપો.,ડેપો,noun,Advanced,The buses return to the depot at night.,Places; Travel_&_Transit; Advanced
Places,Lodge,રહેવા માટેનું નાનું મકાન (ખાસ ગ્રામ્ય વિસ્તારમાં).,લોજ,noun,Intermediate,We stayed in a cosy lodge in the hills.,Places; Travel_&_Transit; Intermediate
Places,Hostel,મુસાફરો/વિદ્યાર્થીઓ માટેનું સસ્તું રહેઠાણ.,હોસ્ટેલ,noun,Intermediate,Backpackers often stay in a hostel.,Places; Travel_&_Transit; Intermediate
Places,Pharmacy,દવાની દુકાન / કેમિસ્ટ.,ફાર્મસી,noun,Intermediate,I bought the medicine from the pharmacy.,Places; Shops_&_Services; Intermediate
Places,Kiosk,નાનો સ્ટોલ / કેબિન જ્યાં વસ્તુ વેચાય.,કિઓસ્ક,noun,Advanced,I bought a magazine from the kiosk.,Places; Shops_&_Services; Advanced
Places,Outlet,દુકાન / વેચાણકેન્દ્ર (ખાસ બ્રાન્ડનું).,આઉટલેટ,noun,Intermediate,There's a new outlet of that brand in the mall.,Places; Shops_&_Services; Intermediate
Places,Branch,મોટી કંપનીની સ્થાનિક ઓફિસ / શાખા.,બ્રાન્ચ,noun,Intermediate,I opened an account at the local bank branch.,Places; Shops_&_Services; Intermediate
Places,Warehouse,સામાન સંગ્રહવાનું મોટું ગોદામ.,વેરહાઉસ,noun,Intermediate,The goods are kept in a large warehouse.,Places; Shops_&_Services; Intermediate
Places,Boutique,"નાની, ફેશનેબલ દુકાન.",બૂટિક,noun,Advanced,She bought a dress from a designer boutique.,Places; Shops_&_Services; Advanced
Places,Grocer's,કરિયાણાની દુકાન.,ગ્રોસર્સ,noun,Intermediate,I'm going to the grocer's for some milk.,Places; Shops_&_Services; Intermediate
Places,Bustling,"ધમધમતું, ભીડભાડ અને ચહલપહલવાળું.",બસલિંગ,adjective,Advanced,The market was bustling with shoppers.,Places; Describing_Places; Advanced
Places,Quaint,જૂની ઢબનું છતાં આકર્ષક / મનમોહક.,ક્વેઇન્ટ,adjective,Advanced,They stayed in a quaint little village.,Places; Describing_Places; Advanced
Places,Picturesque,ચિત્ર જેવું સુંદર / રમણીય (ખાસ દૃશ્ય).,પિક્ચરેસ્ક,adjective,Advanced,The village sits in a picturesque valley.,Places; Describing_Places; Advanced
Places,Secluded,"એકાંત, લોકોથી દૂર અને શાંત.",સિક્લૂડેડ,adjective,Advanced,We found a secluded beach with no crowds.,Places; Describing_Places; Advanced
Places,Run-down,"જર્જરિત, બિસ્માર હાલતમાં.",રન-ડાઉન,adjective,Intermediate,They bought a run-down house and repaired it.,Places; Describing_Places; Intermediate
Places,Spacious,"વિશાળ, પૂરતી જગ્યાવાળું.",સ્પેશિયસ,adjective,Intermediate,The new flat is bright and spacious.,Places; Describing_Places; Intermediate
Places,Deserted,"સૂનું, માણસો વગરનું / નિર્જન.",ડિઝર્ટેડ,adjective,Intermediate,The streets were deserted late at night.,Places; Describing_Places; Intermediate
Places,A stone's throw away,તદ્દન નજીક / હાથવેંતમાં.,એ સ્ટોન્સ થ્રો અવે,phrase,Advanced,The beach is just a stone's throw away from our hotel.,Places; Location_Phrases; Advanced
Places,Off the beaten track,"મુખ્ય રસ્તાથી દૂર, અજાણ્યું એકાંત સ્થળ.",ઑફ ધ બીટન ટ્રેક,phrase,Advanced,We like holidays off the beaten track.,Places; Location_Phrases; Advanced
Places,In the heart of,ના બરાબર મધ્યમાં / કેન્દ્રમાં.,ઇન ધ હાર્ટ ઑફ,phrase,Intermediate,The hotel is in the heart of the city.,Places; Location_Phrases; Intermediate
Places,Within walking distance,ચાલીને પહોંચાય એટલું નજીક.,વિધિન વોકિંગ ડિસ્ટન્સ,phrase,Intermediate,The market is within walking distance of my house.,Places; Location_Phrases; Intermediate
Places,Miles from anywhere,"દરેક વસ્તીથી દૂર, અતિ દૂરનું.",માઇલ્સ ફ્રોમ એનીવ્હેર,phrase,Advanced,Their farmhouse is miles from anywhere.,Places; Location_Phrases; Advanced
Places,On the doorstep,બારણા આગળ જ / એકદમ નજીક.,ઑન ધ ડોરસ્ટેપ,phrase,Advanced,We have a beautiful park right on our doorstep.,Places; Location_Phrases; Advanced
Picnic / Outing,Outing,મોજમજા માટેની ટૂંકી સહેલ / ફરવા જવાનું.,આઉટિંગ,noun,Intermediate,We went on a family outing to the lake.,Picnic_Outing; Planning_the_Outing; Intermediate
Picnic / Outing,Getaway,રોજિંદી ભાગદોડથી દૂર ટૂંકું વેકેશન / છૂટકારો.,ગેટઅવે,noun,Advanced,We booked a weekend getaway to the hills.,Picnic_Outing; Planning_the_Outing; Advanced
Picnic / Outing,Excursion,આયોજિત ટૂંકી સફર / સહેલ.,ઇક્સ્કર્ઝન,noun,Advanced,The hotel offers excursions to nearby villages.,Picnic_Outing; Planning_the_Outing; Advanced
Picnic / Outing,Day trip,એક જ દિવસમાં પૂરી થતી સફર.,ડે ટ્રિપ,noun,Intermediate,We took a day trip to the beach.,Picnic_Outing; Planning_the_Outing; Intermediate
Picnic / Outing,Itinerary,પ્રવાસનો આયોજિત માર્ગ / કાર્યક્રમ.,આઇટિનરરી,noun,Advanced,Our itinerary includes three cities in five days.,Picnic_Outing; Planning_the_Outing; Advanced
Picnic / Outing,Venue,કોઈ કાર્યક્રમ / મેળાવડો યોજાય તે સ્થળ.,વેન્યૂ,noun,Intermediate,The park is a great venue for a picnic.,Picnic_Outing; Planning_the_Outing; Intermediate
Picnic / Outing,Gathering,લોકોનો મેળાવડો / ભેગા થવું.,ગેધરિંગ,noun,Intermediate,We had a small family gathering in the garden.,Picnic_Outing; Planning_the_Outing; Intermediate
Picnic / Outing,Hamper,પિકનિક માટે ખાવાનું ભરેલી ઢાંકણાવાળી ટોપલી.,હેમ્પર,noun,Advanced,She packed sandwiches into the picnic hamper.,Picnic_Outing; Picnic_Essentials; Advanced
Picnic / Outing,Picnic rug,જમીન પર બેસવા માટેનું પાથરણું / ચાદર.,પિકનિક રગ,noun,Intermediate,We spread the picnic rug under a tree.,Picnic_Outing; Picnic_Essentials; Intermediate
Picnic / Outing,Flask,પીણું ગરમ કે ઠંડું રાખવાનું પાત્ર / થર્મોસ.,ફ્લાસ્ક,noun,Intermediate,I filled a flask with hot tea for the trip.,Picnic_Outing; Picnic_Essentials; Intermediate
Picnic / Outing,Cutlery,"છરી, કાંટો, ચમચી વગેરે જમવાનાં સાધનો.",કટલરી,noun,Intermediate,Pack some cutlery for the picnic.,Picnic_Outing; Picnic_Essentials; Intermediate
Picnic / Outing,Refreshments,હળવો નાસ્તો અને પીણાં.,રિફ્રેશમેન્ટ્સ,noun,Advanced,Light refreshments were served at the picnic.,Picnic_Outing; Picnic_Essentials; Advanced
Picnic / Outing,Leftovers,જમ્યા પછી વધેલું ખાવાનું.,લેફ્ટઓવર્સ,noun,Intermediate,We packed the leftovers to take home.,Picnic_Outing; Picnic_Essentials; Intermediate
Picnic / Outing,Disposable,એક વાર વાપરીને ફેંકી દેવાય એવું.,ડિસ્પોઝેબલ,adjective,Intermediate,We used disposable plates at the picnic.,Picnic_Outing; Picnic_Essentials; Intermediate
Picnic / Outing,Meadow,ઘાસ અને ફૂલોવાળું ખુલ્લું મેદાન.,મેડો,noun,Advanced,We had our picnic in a flower-filled meadow.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Riverbank,નદીકાંઠાની જમીન / કિનારો.,રિવરબેંક,noun,Intermediate,We sat on the riverbank and ate lunch.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Clearing,જંગલ વચ્ચેની ખુલ્લી જગ્યા.,ક્લિયરિંગ,noun,Advanced,We set up the picnic in a sunny clearing.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Shade,તડકાથી બચાવતી છાંયડી.,શેડ,noun,Intermediate,We sat in the shade of a big tree.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Lawn,સરસ રીતે કાપેલા ઘાસનું મેદાન.,લોન,noun,Intermediate,We laid the rug on the soft lawn.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Grove,ઝાડનો નાનો સમૂહ / ઝાડી.,ગ્રોવ,noun,Advanced,We rested in a cool mango grove.,Picnic_Outing; The_Outdoor_Setting; Advanced
Picnic / Outing,Trail,કુદરત વચ્ચેથી પસાર થતી પગદંડી / કેડી.,ટ્રેઇલ,noun,Intermediate,We followed a nature trail through the woods.,Picnic_Outing; The_Outdoor_Setting; Intermediate
Picnic / Outing,Stroll,"નિરાંતે, આરામથી ચાલવું / લટાર મારવી.",સ્ટ્રોલ,verb/noun,Intermediate,We went for a stroll along the river.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Wander,કોઈ નક્કી માર્ગ વગર આમતેમ ફરવું.,વોન્ડર,verb,Intermediate,We wandered around the old town for hours.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Sightseeing,પ્રેક્ષણીય સ્થળો જોવા જવું.,સાઇટસીઇંગ,noun,Intermediate,We spent the morning sightseeing in the city.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Unwind,તણાવ ભૂલીને હળવા થવું / આરામ કરવો.,અનવાઇન્ડ,verb,Advanced,A day in nature helps me unwind.,Picnic_Outing; Activities_&_Fun; Advanced
Picnic / Outing,Barbecue,ખુલ્લામાં શેકીને જમવાનો કાર્યક્રમ / શેકેલું ભોજન.,બાર્બેક્યૂ,noun/verb,Intermediate,We had a barbecue in the backyard.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Hike,કુદરતમાં લાંબી પગપાળા સફર.,હાઇક,noun/verb,Intermediate,We went for a hike up the hill.,Picnic_Outing; Activities_&_Fun; Intermediate
Picnic / Outing,Lounge,આળસથી પડ્યા રહીને આરામ કરવો.,લાઉન્જ,verb,Advanced,We lounged on the grass after lunch.,Picnic_Outing; Activities_&_Fun; Advanced
Picnic / Outing,Overcast,"વાદળછાયું, સૂર્ય વગરનું આકાશ.",ઓવરકાસ્ટ,adjective,Advanced,"The sky was overcast, so we took umbrellas.",Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Breeze,"હળવો, ઠંડો પવન.",બ્રીઝ,noun,Intermediate,A cool breeze made the picnic pleasant.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Drizzle,ઝરમર / હળવો વરસાદ.,ડ્રિઝલ,noun/verb,Intermediate,A light drizzle began as we ate.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Scorching,"અતિશય ગરમ, બાળી નાખે એવો તડકો.",સ્કોર્ચિંગ,adjective,Advanced,"It was a scorching day, so we stayed in the shade.",Picnic_Outing; Weather_&_Conditions; Advanced
Picnic / Outing,Humid,"ભેજવાળું, ચીકાશભર્યું વાતાવરણ.",હ્યૂમિડ,adjective,Intermediate,The weather was hot and humid.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,Pleasant,"સુખદ, સરસ (વાતાવરણ).",પ્લેઝન્ટ,adjective,Intermediate,The weather was pleasant for a picnic.,Picnic_Outing; Weather_&_Conditions; Intermediate
Picnic / Outing,In the open air,"ખુલ્લી હવામાં / બહાર, મકાનની બહાર.",ઇન ધ ઓપન એર,phrase,Intermediate,Eating in the open air feels wonderful.,Picnic_Outing; Describing_the_Experience; Intermediate
Picnic / Outing,Make the most of,તકનો પૂરેપૂરો લાભ લેવો.,મેક ધ મોસ્ટ ઑફ,phrase,Advanced,Let's make the most of this sunny day.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,A change of scenery,વાતાવરણ / સ્થળ બદલવાથી મળતી તાજગી.,એ ચેન્જ ઑફ સીનરી,phrase,Advanced,A picnic gives us a nice change of scenery.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Picture-perfect,ચિત્ર જેવું તદ્દન સંપૂર્ણ અને સુંદર.,પિક્ચર-પર્ફેક્ટ,adjective,Advanced,We found a picture-perfect spot for the picnic.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Laid-back,"શાંત, નિરાંતભર્યું, બેફિકર.",લેઇડ-બેક,adjective,Advanced,The picnic had a lovely laid-back feel.,Picnic_Outing; Describing_the_Experience; Advanced
Picnic / Outing,Breathtaking,શ્વાસ થંભાવી દે એવું અતિ સુંદર / અદ્ભુત.,બ્રેથટેકિંગ,adjective,Advanced,The view from the hilltop was breathtaking.,Picnic_Outing; Describing_the_Experience; Advanced
Food & Eating,Savoury,મીઠું/તીખું (ગળ્યું નહિ) સ્વાદવાળું.,સેવરી,adjective,Advanced,I prefer savoury snacks to sweets.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Bland,"સ્વાદ વગરનું, ફિક્કું.",બ્લેન્ડ,adjective,Intermediate,The soup was bland and needed salt.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Tangy,"તીખાશભર્યો, ખટમધુરો સ્વાદ.",ટેંગી,adjective,Advanced,The tangy lemon dressing was delicious.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Mouth-watering,મોઢામાં પાણી લાવી દે એવું સ્વાદિષ્ટ.,માઉથ-વોટરિંગ,adjective,Intermediate,The mouth-watering smell of biryani filled the house.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Rich,"ઘી/ક્રીમ/ખાંડથી ભરપૂર, ભારે.",રિચ,adjective,Intermediate,The chocolate cake was very rich.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Stale,"વાસી, તાજું ન રહેલું.",સ્ટેઇલ,adjective,Intermediate,The bread had gone stale.,Food_&_Eating; Taste_&_Flavour; Intermediate
Food & Eating,Zesty,"તાજગીભર્યો, લીંબુ જેવો ચટપટો સ્વાદ.",ઝેસ્ટી,adjective,Advanced,The salad had a zesty lime dressing.,Food_&_Eating; Taste_&_Flavour; Advanced
Food & Eating,Simmer,ધીમા તાપે ઉકાળવું (ઉકળતા પહેલાંના તાપે).,સિમર,verb,Advanced,Let the curry simmer for twenty minutes.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Sauté,થોડા તેલમાં ઝડપથી તળવું / સાંતળવું.,સોટે,verb,Advanced,Sauté the onions until golden.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Marinate,મસાલાવાળા પ્રવાહીમાં પલાળી રાખવું.,મેરિનેટ,verb,Advanced,Marinate the chicken overnight for best flavour.,Food_&_Eating; Cooking_&_Preparation; Advanced
Food & Eating,Whisk,ઝડપથી ફીણવું / ફેંટવું (ઈંડા/ક્રીમ).,વ્હિસ્ક,verb,Intermediate,Whisk the eggs until fluffy.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Knead,લોટ/કણક હાથથી મસળવું.,નીડ,verb,Intermediate,Knead the dough for ten minutes.,Food_&_Eating; Cooking_&_Preparation; Intermediate
Food & Eating,Season,મીઠું-મસાલા ઉમેરવા.,સીઝન,verb,Intermediate,Season the soup with salt and pepper.,Food_&_Eating; Cooking_&_Preparation; Intermediate
